title;price;age;quantity;link
Палео: Ужасные птицы (Paleo: Die Terrorvögel);11.00 руб.;Возраст игроков 10+;Количество игроков 2-4;http://www.nastolki.by/все-игры/палео-ужасные-птицы-paleo-die-terrorvögel/
Палео (Paleo);151.00 руб.;Возраст игроков 10+;Количество игроков 2-4;http://www.nastolki.by/все-игры/палео-paleo/
Время приключений. Карточные войны. Лимонохват против Гантера;37.00 руб.;Возраст игроков 10+;Количество игроков 2;http://www.nastolki.by/все-игры/время-приключений.-карточные-войны.-лимонохват-против-гантера/
Эпичные схватки боевых магов: Лютый дебош в Адской школе;49.00 руб.;Возраст игроков 18+;Количество игроков 2-6;http://www.nastolki.by/все-игры/эпичные-схватки-боевых-магов-лютый-дебош-в-адской-школе/
Каркассон. Big Box;151.00 руб.;Возраст игроков 7+;Количество игроков 2-6;http://www.nastolki.by/все-игры/каркассон.-big-box/
Миконки (Micons);26.00 руб.;Возраст игроков 3+;Количество игроков 2-4;http://www.nastolki.by/все-игры/миконки-micons/
Зомби в городе (Zombie Teenz Evolution);65.00 руб.;Возраст игроков 8+;Количество игроков 2-4;http://www.nastolki.by/все-игры/зомби-в-городе-zombie-teenz-evolution/
Хуанхэ и Янцзы (Yellow & Yangtze);125.00 руб.;Возраст игроков 14+;Количество игроков 2-4;http://www.nastolki.by/все-игры/хуанхэ-и-янцзы-yellow-yangtze/
Андор: Новые герои (Legends of Andor: New Heroes);62.00 руб.;Возраст игроков 10+;Количество игроков 2-6;http://www.nastolki.by/все-игры/андор-новые-герои-legends-of-andor-new-heroes/
Сундучок знаний. Мир динозавров;49.00 руб.;Возраст игроков 6+;Количество игроков 1+;http://www.nastolki.by/все-игры/сундучок-знаний.-мир-динозавров/
IQ лото для малышей. Угадай, кто это? Найди половинку (Айрис-пресс);11.00 руб.;Возраст игроков 4+;Количество игроков 2-4;http://www.nastolki.by/все-игры/iq-лото-для-малышей.-угадай-кто-это-найди-половинку-айрис-пресс/
IQ лото для малышей. Счёт и фигуры. Подбери число (Айрис-пресс);11.00 руб.;Возраст игроков 4+;Количество игроков 2-4;http://www.nastolki.by/все-игры/iq-лото-для-малышей.-счёт-и-фигуры.-подбери-число-айрис-пресс/
IQ лото для малышей. Волшебный праздник. Подбери силуэт (Айрис-пресс);11.00 руб.;Возраст игроков 3+;Количество игроков 2-4;http://www.nastolki.by/все-игры/iq-лото-для-малышей.-волшебный-праздник.-подбери-силуэт-айрис-пресс/
IQ лото для малышей. Азбука. Подбери букву (Айрис-пресс);11.00 руб.;Возраст игроков 4+;Количество игроков 2-4;http://www.nastolki.by/все-игры/iq-лото-для-малышей.-азбука.-подбери-букву-айрис-пресс/
Пчелы. Тайное королевство (Bees: The Secret Kingdom);32.00 руб.;Возраст игроков 6+;Количество игроков 2-6;http://www.nastolki.by/все-игры/пчелы.-тайное-королевство-bees-the-secret-kingdom/
Пентаго Третье Измерение (Pentago Tripple);56.00 руб.;Возраст игроков 8+;Количество игроков 2-4;http://www.nastolki.by/все-игры/пентаго-третье-измерение-pentago-tripple/
Cluedo. Паутина лжи;90.00 руб.;Возраст игроков 8+;Количество игроков 2-6;http://www.nastolki.by/все-игры/cluedo.-паутина-лжи/
Таверны Тифенталя (The Taverns of Tiefenthal);124.00 руб.;Возраст игроков 18+;Количество игроков 2-4;http://www.nastolki.by/все-игры/таверны-тифенталя-the-taverns-of-tiefenthal/
